date_key,calendar_date,calendar_year,calendar_quarter,month_number,month_name,iso_week,weekday_number,weekday_name,is_weekend,observed_hour_count,grid_load_mwh,average_grid_load_mw,peak_grid_load_mw,reported_generation_mwh,renewable_generation_mwh,conventional_generation_mwh,storage_generation_mwh,renewable_share_of_reported_generation_percent,average_day_ahead_price_eur_per_mwh,minimum_day_ahead_price_eur_per_mwh,maximum_day_ahead_price_eur_per_mwh,negative_price_hour_count,unavailable_generation_value_count
20250101,2025-01-01,2025,1,1,January,1,3,Wednesday,false,24,1180492.00,49187.17,55923.75,1437062.25,1158481.75,273409.25,5171.25,80.61,0.95,-1.01,10.05,14,24
20250102,2025-01-02,2025,1,1,January,1,4,Thursday,false,24,1306006.25,54416.93,62897.00,1367472.50,802920.50,529626.75,34925.25,58.72,92.91,1.56,152.94,0,24
20250103,2025-01-03,2025,1,1,January,1,5,Friday,false,24,1366766.25,56948.59,65361.75,1514692.00,940970.75,562604.50,11116.75,62.12,89.94,69.94,116.66,0,24
20250104,2025-01-04,2025,1,1,January,1,6,Saturday,true,24,1264564.50,52690.19,60559.75,1161745.50,483497.50,643643.50,34604.50,41.62,120.79,90.20,151.24,0,24
20250105,2025-01-05,2025,1,1,January,1,7,Sunday,true,24,1225571.75,51065.49,60078.25,1186401.00,749066.00,427273.00,10062.00,63.14,72.24,28.14,113.84,0,24
20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,24,1346586.25,56107.76,64030.00,1526963.50,1221009.00,288556.75,17397.75,79.96,25.16,9.20,41.37,0,24
20250107,2025-01-07,2025,1,1,January,2,2,Tuesday,false,24,1479229.75,61634.57,70906.50,1595668.75,1152849.00,409699.75,33120.00,72.25,58.29,5.01,101.11,0,24
20250108,2025-01-08,2025,1,1,January,2,3,Wednesday,false,24,1538766.50,64115.27,73128.75,1536224.25,844400.75,667138.75,24684.75,54.97,104.53,57.01,155.46,0,24
20250109,2025-01-09,2025,1,1,January,2,4,Thursday,false,24,1497376.75,62390.70,71044.50,1396396.50,613607.00,746298.50,36491.00,43.94,121.53,88.19,164.88,0,24
20250110,2025-01-10,2025,1,1,January,2,5,Friday,false,24,1535796.75,63991.53,71942.50,1501242.16,808507.66,663882.25,28852.25,53.86,112.43,69.05,144.12,0,24
20250111,2025-01-11,2025,1,1,January,2,6,Saturday,true,24,1344364.00,56015.17,64393.25,1399089.51,764111.51,628358.25,6619.75,54.61,101.89,88.13,122.34,0,24
20250112,2025-01-12,2025,1,1,January,2,7,Sunday,true,24,1268635.00,52859.79,60136.25,1159104.95,494585.45,641053.50,23466.00,42.67,110.07,83.58,146.66,0,24
20250113,2025-01-13,2025,1,1,January,3,1,Monday,false,24,1543399.00,64308.29,74033.50,1349033.30,522556.55,787410.75,39066.00,38.74,129.20,100.00,223.09,0,24
20250114,2025-01-14,2025,1,1,January,3,2,Tuesday,false,24,1617477.50,67394.90,75361.00,1635839.11,801984.11,805240.50,28614.50,49.03,126.82,97.99,184.03,0,24
20250115,2025-01-15,2025,1,1,January,3,3,Wednesday,false,24,1525815.00,63575.63,70812.00,1316736.25,365353.25,907962.00,43421.00,27.75,222.18,107.72,377.99,0,24
20250116,2025-01-16,2025,1,1,January,3,4,Thursday,false,24,1545103.75,64379.32,72243.50,1280302.00,412239.25,832935.00,35127.75,32.20,148.10,115.03,199.65,0,24
20250117,2025-01-17,2025,1,1,January,3,5,Friday,false,24,1544152.00,64339.67,72762.25,1227132.00,347647.25,836036.50,43448.25,28.33,146.32,114.72,208.13,0,24
20250118,2025-01-18,2025,1,1,January,3,6,Saturday,true,24,1324961.25,55206.72,61915.50,1100376.50,308007.75,770700.50,21668.25,27.99,134.15,115.01,167.85,0,24
20250119,2025-01-19,2025,1,1,January,3,7,Sunday,true,24,1252942.75,52205.95,60169.00,1120835.75,393700.50,712270.75,14864.50,35.13,128.72,107.51,159.04,0,24
20250120,2025-01-20,2025,1,1,January,4,1,Monday,false,24,1518645.00,63276.88,72081.25,1253281.00,358135.50,845398.75,49746.75,28.58,231.36,114.41,583.40,0,24
20250121,2025-01-21,2025,1,1,January,4,2,Tuesday,false,24,1531658.00,63819.08,71656.00,1348015.00,402649.50,901066.75,44298.75,29.87,168.46,113.54,301.15,0,24
20250122,2025-01-22,2025,1,1,January,4,3,Wednesday,false,24,1508915.75,62871.49,71098.25,1433488.50,543721.25,856270.75,33496.50,37.93,161.45,114.68,238.60,0,24
20250123,2025-01-23,2025,1,1,January,4,4,Thursday,false,24,1526153.25,63589.72,72298.00,1580034.75,922981.00,638742.00,18311.75,58.42,103.94,58.23,159.03,0,24
20250124,2025-01-24,2025,1,1,January,4,5,Friday,false,24,1486932.00,61955.50,70043.25,1570853.25,1107586.00,452711.00,10556.25,70.51,78.90,40.60,116.23,0,24
20250125,2025-01-25,2025,1,1,January,4,6,Saturday,true,24,1292431.75,53851.32,60700.25,1251284.75,766062.25,445419.50,39803.00,61.22,99.33,59.04,151.00,0,24
20250126,2025-01-26,2025,1,1,January,4,7,Sunday,true,24,1193862.00,49744.25,58724.25,1097831.00,609146.75,472258.25,16426.00,55.49,101.46,23.89,132.77,0,24
20250127,2025-01-27,2025,1,1,January,5,1,Monday,false,24,1484311.50,61846.31,71230.50,1514403.00,1105336.25,388130.50,20936.25,72.99,60.17,10.10,118.67,0,24
20250128,2025-01-28,2025,1,1,January,5,2,Tuesday,false,24,1483767.00,61823.63,69915.75,1382043.00,808716.50,532214.00,41112.50,58.52,106.37,57.33,149.60,0,24
20250129,2025-01-29,2025,1,1,January,5,3,Wednesday,false,24,1491606.50,62150.27,70141.75,1508207.25,967840.75,514416.50,25950.00,64.17,108.14,75.64,150.09,0,24
20250130,2025-01-30,2025,1,1,January,5,4,Thursday,false,24,1486554.25,61939.76,69874.00,1317802.25,595362.50,691951.75,30488.00,45.18,131.53,92.41,180.36,0,24
20250131,2025-01-31,2025,1,1,January,5,5,Friday,false,24,1457845.75,60743.57,69303.00,1361488.75,609010.50,723213.25,29265.00,44.73,141.02,113.12,185.26,0,24
20250201,2025-02-01,2025,1,2,February,5,6,Saturday,true,24,1258504.92,52437.71,58308.19,1097046.25,384810.25,691031.00,21205.00,35.08,135.45,103.40,168.27,0,24
20250202,2025-02-02,2025,1,2,February,5,7,Sunday,true,24,1215842.04,50660.09,58427.62,1027841.00,340498.75,672896.75,14445.50,33.13,137.13,111.88,173.95,0,24
20250203,2025-02-03,2025,1,2,February,6,1,Monday,false,24,1477659.62,61569.15,69699.28,1192985.00,351426.00,798850.25,42708.75,29.46,154.51,115.29,243.23,0,24
20250204,2025-02-04,2025,1,2,February,6,2,Tuesday,false,24,1536942.76,64039.28,72606.38,1352283.25,531983.75,786580.25,33719.25,39.34,142.42,113.17,211.99,0,24
20250205,2025-02-05,2025,1,2,February,6,3,Wednesday,false,24,1555798.29,64824.93,72977.04,1381050.25,536076.50,816158.50,28815.25,38.82,141.77,108.18,189.90,0,24
20250206,2025-02-06,2025,1,2,February,6,4,Thursday,false,24,1512802.39,63033.43,70971.12,1289983.50,405248.75,854965.25,29769.50,31.42,150.09,121.95,219.42,0,24
20250207,2025-02-07,2025,1,2,February,6,5,Friday,false,24,1528301.20,63679.22,72367.17,1700940.75,1016336.25,671085.25,13519.25,59.75,121.18,98.72,164.21,0,24
20250208,2025-02-08,2025,1,2,February,6,6,Saturday,true,24,1319652.09,54985.50,61277.14,1427132.00,813751.00,599260.75,14120.25,57.02,108.81,67.71,161.10,0,24
20250209,2025-02-09,2025,1,2,February,6,7,Sunday,true,24,1245012.28,51875.51,61425.16,1257133.50,579152.75,662459.25,15521.50,46.07,128.42,95.53,161.93,0,24
20250210,2025-02-10,2025,1,2,February,7,1,Monday,false,24,1539663.22,64152.63,73879.92,1587148.00,848478.75,712580.50,26088.75,53.46,121.84,87.38,181.36,0,24
20250211,2025-02-11,2025,1,2,February,7,2,Tuesday,false,24,1580241.67,65843.40,73808.49,1624539.75,849925.00,747315.00,27299.75,52.32,120.01,71.10,168.19,0,24
20250212,2025-02-12,2025,1,2,February,7,3,Wednesday,false,24,1560451.50,65018.81,73311.36,1482421.25,623760.25,830261.25,28399.75,42.08,154.32,126.59,197.13,0,24
20250213,2025-02-13,2025,1,2,February,7,4,Thursday,false,24,1564519.22,65188.30,73547.40,1321280.50,397489.25,881761.25,42030.00,30.08,172.12,136.59,222.36,0,24
20250214,2025-02-14,2025,1,2,February,7,5,Friday,false,24,1524579.37,63524.14,71878.03,1224594.25,291485.00,892593.75,40515.50,23.80,179.14,127.65,298.91,0,24
20250215,2025-02-15,2025,1,2,February,7,6,Saturday,true,24,1307377.33,54474.06,60777.02,1082538.50,265835.75,796076.75,20626.00,24.56,133.66,110.01,174.70,0,24
20250216,2025-02-16,2025,1,2,February,7,7,Sunday,true,24,1256914.83,52371.45,60153.55,1200483.00,486043.00,704038.50,10401.50,40.49,132.65,118.77,169.98,0,24
20250217,2025-02-17,2025,1,2,February,8,1,Monday,false,24,1493540.22,62230.84,70533.04,1364117.75,453613.25,867893.25,42611.25,33.25,153.42,106.78,271.00,0,24
20250218,2025-02-18,2025,1,2,February,8,2,Tuesday,false,24,1527674.72,63653.11,71771.47,1452647.50,627861.00,796379.50,28407.00,43.22,132.45,88.53,193.80,0,24
20250219,2025-02-19,2025,1,2,February,8,3,Wednesday,false,24,1533208.40,63883.68,71633.06,1662416.75,958142.75,683019.50,21254.50,57.64,110.83,81.52,166.37,0,24
20250220,2025-02-20,2025,1,2,February,8,4,Thursday,false,24,1543620.46,64317.52,71633.24,1551315.50,833950.25,686745.25,30620.00,53.76,94.95,82.18,127.98,0,24
20250221,2025-02-21,2025,1,2,February,8,5,Friday,false,24,1436870.83,59869.62,67824.42,1411117.50,843444.25,546285.25,21388.00,59.77,90.80,64.33,152.50,0,24
20250222,2025-02-22,2025,1,2,February,8,6,Saturday,true,24,1266829.85,52784.58,59298.48,1311050.75,877651.75,397495.25,35903.75,66.94,70.32,40.40,115.18,0,24
20250223,2025-02-23,2025,1,2,February,8,7,Sunday,true,24,1141098.38,47545.77,54842.69,1106119.00,647615.50,434404.00,24099.50,58.55,91.04,64.75,154.69,0,24
20250224,2025-02-24,2025,1,2,February,9,1,Monday,false,24,1441008.90,60042.04,69038.49,1459071.50,971047.25,474231.75,13792.50,66.55,91.05,37.10,148.71,0,24
20250225,2025-02-25,2025,1,2,February,9,2,Tuesday,false,24,1404481.76,58520.07,65995.74,1226261.75,442829.75,744859.25,38572.75,36.11,139.76,89.91,233.05,0,24
