forecast_name,forecast_role,evaluation_scope,horizon_step,observations,mae_mw,rmse_mw,mape_percent,improvement_over_weekly_percent
daily_seasonal_naive,baseline,horizon,1,365,2161.128,2673.337,4.831,-5.740
daily_seasonal_naive,baseline,horizon,2,365,2182.687,2683.852,5.069,-8.761
daily_seasonal_naive,baseline,horizon,3,365,2233.413,2724.282,5.301,-12.227
daily_seasonal_naive,baseline,horizon,4,365,2373.959,2887.074,5.658,-20.662
daily_seasonal_naive,baseline,horizon,5,365,2645.950,3262.108,6.225,-30.836
daily_seasonal_naive,baseline,horizon,6,365,3512.458,4628.723,7.941,-54.015
daily_seasonal_naive,baseline,horizon,7,365,5361.260,7681.722,11.137,-90.559
daily_seasonal_naive,baseline,horizon,8,365,6265.723,9225.363,12.132,-111.845
daily_seasonal_naive,baseline,horizon,9,365,6147.726,9066.253,11.244,-113.666
daily_seasonal_naive,baseline,horizon,10,365,5416.155,7935.426,9.604,-95.424
daily_seasonal_naive,baseline,horizon,11,365,4968.664,7190.864,8.688,-66.890
daily_seasonal_naive,baseline,horizon,12,365,4695.124,6707.431,8.162,-49.941
daily_seasonal_naive,baseline,horizon,13,365,4685.202,6615.815,8.237,-43.041
daily_seasonal_naive,baseline,horizon,14,365,4880.970,6827.354,8.763,-43.941
daily_seasonal_naive,baseline,horizon,15,365,4854.839,6779.808,8.911,-47.381
daily_seasonal_naive,baseline,horizon,16,365,4712.645,6648.835,8.733,-48.502
daily_seasonal_naive,baseline,horizon,17,365,4473.753,6279.548,8.256,-48.469
daily_seasonal_naive,baseline,horizon,18,365,4135.499,5792.864,7.399,-48.005
daily_seasonal_naive,baseline,horizon,19,365,3771.614,5287.647,6.598,-45.654
daily_seasonal_naive,baseline,horizon,20,365,3610.136,5084.910,6.307,-43.680
daily_seasonal_naive,baseline,horizon,21,365,3311.101,4649.686,5.984,-39.212
daily_seasonal_naive,baseline,horizon,22,365,2984.023,4053.176,5.637,-32.343
daily_seasonal_naive,baseline,horizon,23,365,2481.964,3225.288,4.928,-15.395
daily_seasonal_naive,baseline,horizon,24,365,2226.581,2834.247,4.702,-5.668
daily_seasonal_naive,baseline,overall,0,8760,3920.524,5816.638,7.519,-49.891
hist_gradient_boosting_31_leaves,selected_model,horizon,1,365,753.016,1000.276,1.642,63.156
hist_gradient_boosting_31_leaves,selected_model,horizon,2,365,743.021,1002.674,1.685,62.976
hist_gradient_boosting_31_leaves,selected_model,horizon,3,365,824.359,1072.421,1.920,58.577
hist_gradient_boosting_31_leaves,selected_model,horizon,4,365,853.366,1095.708,1.995,56.626
hist_gradient_boosting_31_leaves,selected_model,horizon,5,365,907.552,1175.688,2.079,55.124
hist_gradient_boosting_31_leaves,selected_model,horizon,6,365,1151.739,1567.855,2.522,49.498
hist_gradient_boosting_31_leaves,selected_model,horizon,7,365,1411.392,2090.135,2.858,49.834
hist_gradient_boosting_31_leaves,selected_model,horizon,8,365,1467.019,2362.134,2.796,50.400
hist_gradient_boosting_31_leaves,selected_model,horizon,9,365,1523.406,2425.919,2.758,47.054
hist_gradient_boosting_31_leaves,selected_model,horizon,10,365,1461.080,2216.322,2.574,47.282
hist_gradient_boosting_31_leaves,selected_model,horizon,11,365,1573.604,2251.085,2.763,47.145
hist_gradient_boosting_31_leaves,selected_model,horizon,12,365,1718.832,2395.408,3.012,45.108
hist_gradient_boosting_31_leaves,selected_model,horizon,13,365,1869.463,2543.764,3.311,42.925
hist_gradient_boosting_31_leaves,selected_model,horizon,14,365,1950.843,2628.368,3.517,42.469
hist_gradient_boosting_31_leaves,selected_model,horizon,15,365,1935.040,2610.852,3.570,41.257
hist_gradient_boosting_31_leaves,selected_model,horizon,16,365,1848.756,2491.797,3.445,41.743
hist_gradient_boosting_31_leaves,selected_model,horizon,17,365,1781.640,2416.803,3.273,40.873
hist_gradient_boosting_31_leaves,selected_model,horizon,18,365,1604.751,2198.766,2.842,42.568
hist_gradient_boosting_31_leaves,selected_model,horizon,19,365,1450.271,2032.357,2.500,43.993
hist_gradient_boosting_31_leaves,selected_model,horizon,20,365,1418.609,1955.398,2.452,43.541
hist_gradient_boosting_31_leaves,selected_model,horizon,21,365,1345.313,1859.587,2.387,43.437
hist_gradient_boosting_31_leaves,selected_model,horizon,22,365,1377.995,1836.920,2.549,38.885
hist_gradient_boosting_31_leaves,selected_model,horizon,23,365,1308.923,1690.112,2.548,39.144
hist_gradient_boosting_31_leaves,selected_model,horizon,24,365,1278.220,1615.404,2.653,39.339
hist_gradient_boosting_31_leaves,selected_model,overall,0,8760,1398.259,2011.223,2.652,46.541
weekly_seasonal_naive,baseline,horizon,1,365,2043.807,2647.961,4.493,0.000
weekly_seasonal_naive,baseline,horizon,2,365,2006.863,2628.295,4.571,0.000
weekly_seasonal_naive,baseline,horizon,3,365,1990.086,2625.235,4.628,0.000
weekly_seasonal_naive,baseline,horizon,4,365,1967.444,2633.575,4.578,0.000
weekly_seasonal_naive,baseline,horizon,5,365,2022.338,2721.241,4.633,0.000
weekly_seasonal_naive,baseline,horizon,6,365,2280.597,3287.056,4.996,0.000
weekly_seasonal_naive,baseline,horizon,7,365,2813.439,4540.540,5.685,0.000
weekly_seasonal_naive,baseline,horizon,8,365,2957.687,5182.553,5.600,0.000
weekly_seasonal_naive,baseline,horizon,9,365,2877.257,5118.207,5.142,0.000
weekly_seasonal_naive,baseline,horizon,10,365,2771.486,4677.142,4.836,0.000
weekly_seasonal_naive,baseline,horizon,11,365,2977.207,4588.766,5.158,0.000
weekly_seasonal_naive,baseline,horizon,12,365,3131.308,4541.508,5.403,0.000
weekly_seasonal_naive,baseline,horizon,13,365,3275.429,4637.613,5.721,0.000
weekly_seasonal_naive,baseline,horizon,14,365,3390.959,4832.009,6.051,0.000
weekly_seasonal_naive,baseline,horizon,15,365,3294.083,4743.908,6.015,0.000
weekly_seasonal_naive,baseline,horizon,16,365,3173.458,4586.347,5.843,0.000
weekly_seasonal_naive,baseline,horizon,17,365,3013.255,4367.190,5.503,0.000
weekly_seasonal_naive,baseline,horizon,18,365,2794.165,4076.158,4.948,0.000
weekly_seasonal_naive,baseline,horizon,19,365,2589.434,3841.371,4.481,0.000
weekly_seasonal_naive,baseline,horizon,20,365,2512.630,3700.105,4.353,0.000
weekly_seasonal_naive,baseline,horizon,21,365,2378.451,3463.364,4.251,0.000
weekly_seasonal_naive,baseline,horizon,22,365,2254.763,3168.622,4.200,0.000
weekly_seasonal_naive,baseline,horizon,23,365,2150.842,2886.227,4.205,0.000
weekly_seasonal_naive,baseline,horizon,24,365,2107.149,2726.455,4.390,0.000
weekly_seasonal_naive,baseline,overall,0,8760,2615.589,3945.010,4.987,0.000
