interval_start_utc,interval_end_utc,date_key,calendar_date,calendar_year,calendar_quarter,month_number,month_name,iso_week,weekday_number,weekday_name,is_weekend,hour_key,hour_label,utc_offset_minutes,is_dst,local_fold,technology_key,technology_id,technology_name,technology_group,is_renewable,technology_order,generation_mwh,generation_mw,value_status,source_export_id,source_sha256
2025-01-05T23:00:00+00:00,2025-01-06T00:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,0,00:00,60,false,0,1,biomass,Biomass,renewable,true,1,3740.00,3740.00,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-05T23:00:00+00:00,2025-01-06T00:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,0,00:00,60,false,0,2,hydropower,Hydropower,renewable,true,2,1615.75,1615.75,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-05T23:00:00+00:00,2025-01-06T00:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,0,00:00,60,false,0,3,wind_offshore,Wind offshore,renewable,true,3,6408.00,6408.00,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-05T23:00:00+00:00,2025-01-06T00:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,0,00:00,60,false,0,4,wind_onshore,Wind onshore,renewable,true,4,28205.75,28205.75,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-05T23:00:00+00:00,2025-01-06T00:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,0,00:00,60,false,0,5,solar_photovoltaic,Solar photovoltaic,renewable,true,5,5.75,5.75,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-05T23:00:00+00:00,2025-01-06T00:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,0,00:00,60,false,0,6,other_renewable,Other renewable,renewable,true,6,130.50,130.50,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-05T23:00:00+00:00,2025-01-06T00:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,0,00:00,60,false,0,7,nuclear,Nuclear,conventional,false,7,,,unavailable,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-05T23:00:00+00:00,2025-01-06T00:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,0,00:00,60,false,0,8,lignite,Lignite,conventional,false,8,3598.50,3598.50,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-05T23:00:00+00:00,2025-01-06T00:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,0,00:00,60,false,0,9,hard_coal,Hard coal,conventional,false,9,1238.00,1238.00,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-05T23:00:00+00:00,2025-01-06T00:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,0,00:00,60,false,0,10,fossil_gas,Fossil gas,conventional,false,10,3730.50,3730.50,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-05T23:00:00+00:00,2025-01-06T00:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,0,00:00,60,false,0,11,hydro_pumped_storage,Hydro pumped storage,storage,false,11,144.00,144.00,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-05T23:00:00+00:00,2025-01-06T00:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,0,00:00,60,false,0,12,other_conventional,Other conventional,conventional,false,12,1684.75,1684.75,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-06T00:00:00+00:00,2025-01-06T01:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,1,01:00,60,false,0,1,biomass,Biomass,renewable,true,1,3720.25,3720.25,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-06T00:00:00+00:00,2025-01-06T01:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,1,01:00,60,false,0,2,hydropower,Hydropower,renewable,true,2,1623.50,1623.50,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-06T00:00:00+00:00,2025-01-06T01:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,1,01:00,60,false,0,3,wind_offshore,Wind offshore,renewable,true,3,6574.25,6574.25,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-06T00:00:00+00:00,2025-01-06T01:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,1,01:00,60,false,0,4,wind_onshore,Wind onshore,renewable,true,4,28649.50,28649.50,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-06T00:00:00+00:00,2025-01-06T01:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,1,01:00,60,false,0,5,solar_photovoltaic,Solar photovoltaic,renewable,true,5,5.75,5.75,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-06T00:00:00+00:00,2025-01-06T01:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,1,01:00,60,false,0,6,other_renewable,Other renewable,renewable,true,6,129.75,129.75,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-06T00:00:00+00:00,2025-01-06T01:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,1,01:00,60,false,0,7,nuclear,Nuclear,conventional,false,7,,,unavailable,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-06T00:00:00+00:00,2025-01-06T01:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,1,01:00,60,false,0,8,lignite,Lignite,conventional,false,8,3441.25,3441.25,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
2025-01-06T00:00:00+00:00,2025-01-06T01:00:00+00:00,20250106,2025-01-06,2025,1,1,January,2,1,Monday,false,1,01:00,60,false,0,9,hard_coal,Hard coal,conventional,false,9,1493.00,1493.00,reported,actual_generation_de_2024_2025,8118719a1cd35b8bac2f3933ca90094fc3fdbe4eaf8b653e88e4097514ae2f64
