month_key,month_start,calendar_year,month_number,month_name,observed_day_count,observed_hour_count,grid_load_mwh,average_grid_load_mw,peak_grid_load_mw,reported_generation_mwh,renewable_generation_mwh,conventional_generation_mwh,storage_generation_mwh,renewable_share_of_reported_generation_percent,average_day_ahead_price_eur_per_mwh,minimum_day_ahead_price_eur_per_mwh,maximum_day_ahead_price_eur_per_mwh,negative_price_hour_count,unavailable_generation_value_count
202201,2022-01-01,2022,1,January,31,744,46287079.00,62213.82,78152.25,48398976.75,21504007.50,26075881.50,819087.75,44.43,167.73,-1.05,399.85,4,0
202202,2022-02-01,2022,2,February,28,672,42317899.00,62973.06,78680.50,46915026.25,26781675.25,19446324.25,687026.75,57.09,128.80,-0.52,322.90,4,0
202203,2022-03-01,2022,3,March,31,743,43923259.50,59116.10,71826.00,45576779.25,18129298.00,26676979.75,770501.50,39.78,252.01,-19.04,700.00,6,0
202204,2022-04-01,2022,4,April,30,720,40131877.25,55738.72,75903.50,42519756.50,21451593.75,20342486.00,725676.75,50.45,165.73,-2.49,309.93,5,0
202205,2022-05-01,2022,5,May,31,744,39880332.50,53602.60,69070.00,38125370.25,20089724.25,17284558.50,751087.50,52.69,177.48,-13.85,298.21,16,0
202206,2022-06-01,2022,6,June,30,720,37360445.00,51889.51,65747.25,36809854.50,17997421.75,17983193.50,829239.25,48.89,218.03,-0.59,500.00,3,0
202207,2022-07-01,2022,7,July,31,744,38359781.75,51558.85,67201.50,41808608.00,19401326.25,21458211.00,949070.75,46.41,315.00,-0.10,679.54,2,0
202208,2022-08-01,2022,8,August,31,744,37448427.00,50333.91,64180.00,37772540.50,16011791.50,20966857.25,793891.75,42.39,465.18,13.29,871.00,0,0
202209,2022-09-01,2022,9,September,30,720,37354092.25,51880.68,66091.50,38543340.75,17020270.50,20676817.50,846252.75,44.16,346.12,2.00,729.90,0,0
202210,2022-10-01,2022,10,October,31,745,38545247.00,51738.59,65808.75,38569945.25,19055695.00,18557773.50,956476.75,49.41,152.60,0.10,497.39,0,0
202211,2022-11-01,2022,11,November,30,720,39774611.25,55242.52,69343.75,41997885.75,18813025.50,22183391.50,1001468.75,44.80,173.63,0.09,503.55,0,0
202212,2022-12-01,2022,12,December,31,744,40912897.25,54990.45,71538.00,42943392.00,17038085.75,24881263.00,1024043.25,39.68,251.62,-3.78,665.01,29,0
202301,2023-01-01,2023,1,January,31,744,42152953.75,56657.20,71710.25,44562883.75,22711835.50,20880941.75,970106.50,50.97,117.83,-5.40,270.22,14,0
